file,label
../Datasets/normalized_landmarks\Front\W282\W282S05F_05.npy,W282
../Datasets/normalized_landmarks\Front\W129\W129S13F_05.npy,W129
../Datasets/normalized_landmarks\Front\W034\W034S08F_08.npy,W034
../Datasets/normalized_landmarks\Front\W065\W065S04F_09.npy,W065
../Datasets/normalized_landmarks\Front\W319\W319S17F_02.npy,W319
../Datasets/normalized_landmarks\Front\W183\W183S06F_09.npy,W183
../Datasets/normalized_landmarks\Front\W381\W381S14F_04.npy,W381
../Datasets/normalized_landmarks\Front\W367\W367S13F_06.npy,W367
../Datasets/normalized_landmarks\Front\W134\W134S04F_09.npy,W134
../Datasets/normalized_landmarks\Front\W045\W045S04F_07.npy,W045
../Datasets/normalized_landmarks\Front\W031\W031S15F_08.npy,W031
../Datasets/normalized_landmarks\Front\W381\W381S18F_10.npy,W381
../Datasets/normalized_landmarks\Front\W186\W186S15F_03.npy,W186
../Datasets/normalized_landmarks\Front\W144\W144S15F_04.npy,W144
../Datasets/normalized_landmarks\Front\W223\W223S09F_08.npy,W223
../Datasets/normalized_landmarks\Front\W222\W222S15F_06.npy,W222
../Datasets/normalized_landmarks\Front\W088\W088S13F_04.npy,W088
../Datasets/normalized_landmarks\Front\W389\W389S04F_03.npy,W389
../Datasets/normalized_landmarks\Front\W008\W008S02F_06.npy,W008
../Datasets/normalized_landmarks\Front\W265\W265S04F_07.npy,W265
../Datasets/normalized_landmarks\Front\W386\W386S17F_12.npy,W386
../Datasets/normalized_landmarks\Front\W247\W247S05F_04.npy,W247
../Datasets/normalized_landmarks\Front\W019\W019S03F_01.npy,W019
../Datasets/normalized_landmarks\Front\W196\W196S05F_06.npy,W196
../Datasets/normalized_landmarks\Front\W261\W261S01F_03.npy,W261
../Datasets/normalized_landmarks\Front\W020\W020S04F_03.npy,W020
../Datasets/normalized_landmarks\Front\W292\W292S09F_07.npy,W292
../Datasets/normalized_landmarks\Front\W028\W028S05F_03.npy,W028
../Datasets/normalized_landmarks\Front\W126\W126S05F_01.npy,W126
../Datasets/normalized_landmarks\Front\W112\W112S02F_03.npy,W112
../Datasets/normalized_landmarks\Front\W294\W294S16F_02.npy,W294
../Datasets/normalized_landmarks\Front\W206\W206S02F_06.npy,W206
../Datasets/normalized_landmarks\Front\W248\W248S06F_08.npy,W248
../Datasets/normalized_landmarks\Front\W070\W070S11F_05.npy,W070
../Datasets/normalized_landmarks\Front\W289\W289S09F_05.npy,W289
../Datasets/normalized_landmarks\Front\W369\W369S06F_05.npy,W369
../Datasets/normalized_landmarks\Front\W004\W004S09F_12.npy,W004
../Datasets/normalized_landmarks\Front\W333\W333S17F_07.npy,W333
../Datasets/normalized_landmarks\Front\W198\W198S05F_01.npy,W198
../Datasets/normalized_landmarks\Front\W343\W343S17F_05.npy,W343
../Datasets/normalized_landmarks\Front\W304\W304S04F_11.npy,W304
../Datasets/normalized_landmarks\Front\W076\W076S01F_12.npy,W076
../Datasets/normalized_landmarks\Front\W128\W128S15F_02.npy,W128
../Datasets/normalized_landmarks\Front\W303\W303S11F_04.npy,W303
../Datasets/normalized_landmarks\Front\W372\W372S08F_04.npy,W372
../Datasets/normalized_landmarks\Front\W094\W094S05F_02.npy,W094
../Datasets/normalized_landmarks\Front\W038\W038S13F_09.npy,W038
../Datasets/normalized_landmarks\Front\W361\W361S16F_02.npy,W361
../Datasets/normalized_landmarks\Front\W245\W245S05F_01.npy,W245
../Datasets/normalized_landmarks\Front\W154\W154S15F_11.npy,W154
../Datasets/normalized_landmarks\Front\W214\W214S13F_04.npy,W214
../Datasets/normalized_landmarks\Front\W023\W023S06F_07.npy,W023
../Datasets/normalized_landmarks\Front\W392\W392S14F_03.npy,W392
../Datasets/normalized_landmarks\Front\W368\W368S01F_06.npy,W368
../Datasets/normalized_landmarks\Front\W261\W261S15F_06.npy,W261
../Datasets/normalized_landmarks\Front\W193\W193S15F_02.npy,W193
../Datasets/normalized_landmarks\Front\W093\W093S05F_06.npy,W093
../Datasets/normalized_landmarks\Front\W350\W350S16F_06.npy,W350
../Datasets/normalized_landmarks\Front\W232\W232S11F_11.npy,W232
../Datasets/normalized_landmarks\Front\W318\W318S09F_09.npy,W318
../Datasets/normalized_landmarks\Front\W051\W051S03F_07.npy,W051
../Datasets/normalized_landmarks\Front\W365\W365S15F_08.npy,W365
../Datasets/normalized_landmarks\Front\W067\W067S12F_01.npy,W067
../Datasets/normalized_landmarks\Front\W106\W106S05F_05.npy,W106
../Datasets/normalized_landmarks\Front\W231\W231S12F_08.npy,W231
../Datasets/normalized_landmarks\Front\W012\W012S04F_05.npy,W012
../Datasets/normalized_landmarks\Front\W018\W018S01F_15.npy,W018
../Datasets/normalized_landmarks\Front\W143\W143S12F_01.npy,W143
../Datasets/normalized_landmarks\Front\W311\W311S09F_01.npy,W311
../Datasets/normalized_landmarks\Front\W279\W279S11F_06.npy,W279
../Datasets/normalized_landmarks\Front\W159\W159S13F_04.npy,W159
../Datasets/normalized_landmarks\Front\W284\W284S04F_06.npy,W284
../Datasets/normalized_landmarks\Front\W079\W079S12F_01.npy,W079
../Datasets/normalized_landmarks\Front\W264\W264S12F_06.npy,W264
../Datasets/normalized_landmarks\Front\W066\W066S15F_11.npy,W066
../Datasets/normalized_landmarks\Front\W386\W386S11F_08.npy,W386
../Datasets/normalized_landmarks\Front\W357\W357S07F_09.npy,W357
../Datasets/normalized_landmarks\Front\W394\W394S16F_04.npy,W394
../Datasets/normalized_landmarks\Front\W250\W250S05F_03.npy,W250
../Datasets/normalized_landmarks\Front\W361\W361S12F_07.npy,W361
../Datasets/normalized_landmarks\Front\W096\W096S08F_06.npy,W096
../Datasets/normalized_landmarks\Front\W227\W227S06F_18.npy,W227
../Datasets/normalized_landmarks\Front\W011\W011S02F_10.npy,W011
../Datasets/normalized_landmarks\Front\W389\W389S09F_03.npy,W389
../Datasets/normalized_landmarks\Front\W094\W094S12F_06.npy,W094
../Datasets/normalized_landmarks\Front\W145\W145S05F_07.npy,W145
../Datasets/normalized_landmarks\Front\W295\W295S04F_04.npy,W295
../Datasets/normalized_landmarks\Front\W024\W024S03F_13.npy,W024
../Datasets/normalized_landmarks\Front\W355\W355S03F_06.npy,W355
../Datasets/normalized_landmarks\Front\W201\W201S05F_08.npy,W201
../Datasets/normalized_landmarks\Front\W202\W202S15F_05.npy,W202
../Datasets/normalized_landmarks\Front\W060\W060S01F_05.npy,W060
../Datasets/normalized_landmarks\Front\W376\W376S14F_02.npy,W376
../Datasets/normalized_landmarks\Front\W351\W351S11F_04.npy,W351
../Datasets/normalized_landmarks\Front\W051\W051S11F_14.npy,W051
../Datasets/normalized_landmarks\Front\W125\W125S06F_03.npy,W125
../Datasets/normalized_landmarks\Front\W080\W080S13F_01.npy,W080
../Datasets/normalized_landmarks\Front\W340\W340S04F_06.npy,W340
../Datasets/normalized_landmarks\Front\W368\W368S14F_10.npy,W368
../Datasets/normalized_landmarks\Front\W091\W091S15F_04.npy,W091
../Datasets/normalized_landmarks\Front\W049\W049S09F_11.npy,W049
../Datasets/normalized_landmarks\Front\W368\W368S12F_08.npy,W368
../Datasets/normalized_landmarks\Front\W061\W061S12F_04.npy,W061
../Datasets/normalized_landmarks\Front\W043\W043S03F_05.npy,W043
../Datasets/normalized_landmarks\Front\W379\W379S11F_14.npy,W379
../Datasets/normalized_landmarks\Front\W016\W016S15F_05.npy,W016
../Datasets/normalized_landmarks\Front\W374\W374S16F_03.npy,W374
../Datasets/normalized_landmarks\Front\W041\W041S11F_03.npy,W041
../Datasets/normalized_landmarks\Front\W246\W246S09F_01.npy,W246
../Datasets/normalized_landmarks\Front\W215\W215S13F_06.npy,W215
../Datasets/normalized_landmarks\Front\W038\W038S03F_11.npy,W038
../Datasets/normalized_landmarks\Front\W399\W399S18F_08.npy,W399
../Datasets/normalized_landmarks\Front\W129\W129S02F_07.npy,W129
../Datasets/normalized_landmarks\Front\W362\W362S04F_03.npy,W362
../Datasets/normalized_landmarks\Front\W350\W350S04F_07.npy,W350
../Datasets/normalized_landmarks\Front\W212\W212S02F_11.npy,W212
../Datasets/normalized_landmarks\Front\W220\W220S09F_04.npy,W220
../Datasets/normalized_landmarks\Front\W220\W220S11F_10.npy,W220
../Datasets/normalized_landmarks\Front\W325\W325S12F_08.npy,W325
../Datasets/normalized_landmarks\Front\W048\W048S05F_05.npy,W048
../Datasets/normalized_landmarks\Front\W202\W202S02F_13.npy,W202
../Datasets/normalized_landmarks\Front\W348\W348S07F_04.npy,W348
../Datasets/normalized_landmarks\Front\W068\W068S09F_08.npy,W068
../Datasets/normalized_landmarks\Front\W331\W331S01F_09.npy,W331
../Datasets/normalized_landmarks\Front\W306\W306S04F_01.npy,W306
../Datasets/normalized_landmarks\Front\W393\W393S18F_02.npy,W393
../Datasets/normalized_landmarks\Front\W302\W302S12F_04.npy,W302
../Datasets/normalized_landmarks\Front\W195\W195S02F_08.npy,W195
../Datasets/normalized_landmarks\Front\W094\W094S15F_10.npy,W094
../Datasets/normalized_landmarks\Front\W206\W206S04F_05.npy,W206
../Datasets/normalized_landmarks\Front\W277\W277S14F_11.npy,W277
../Datasets/normalized_landmarks\Front\W027\W027S12F_05.npy,W027
../Datasets/normalized_landmarks\Front\W364\W364S07F_05.npy,W364
../Datasets/normalized_landmarks\Front\W251\W251S15F_03.npy,W251
../Datasets/normalized_landmarks\Front\W269\W269S11F_06.npy,W269
../Datasets/normalized_landmarks\Front\W058\W058S05F_05.npy,W058
../Datasets/normalized_landmarks\Front\W333\W333S14F_03.npy,W333
../Datasets/normalized_landmarks\Front\W015\W015S03F_09.npy,W015
../Datasets/normalized_landmarks\Front\W175\W175S02F_12.npy,W175
../Datasets/normalized_landmarks\Front\W382\W382S07F_07.npy,W382
../Datasets/normalized_landmarks\Front\W074\W074S13F_06.npy,W074
../Datasets/normalized_landmarks\Front\W208\W208S05F_07.npy,W208
../Datasets/normalized_landmarks\Front\W018\W018S05F_07.npy,W018
../Datasets/normalized_landmarks\Front\W220\W220S12F_08.npy,W220
../Datasets/normalized_landmarks\Front\W032\W032S04F_04.npy,W032
../Datasets/normalized_landmarks\Front\W304\W304S03F_10.npy,W304
../Datasets/normalized_landmarks\Front\W165\W165S08F_05.npy,W165
../Datasets/normalized_landmarks\Front\W202\W202S09F_09.npy,W202
../Datasets/normalized_landmarks\Front\W358\W358S18F_15.npy,W358
../Datasets/normalized_landmarks\Front\W123\W123S02F_08.npy,W123
../Datasets/normalized_landmarks\Front\W293\W293S08F_01.npy,W293
../Datasets/normalized_landmarks\Front\W083\W083S01F_14.npy,W083
../Datasets/normalized_landmarks\Front\W156\W156S02F_02.npy,W156
../Datasets/normalized_landmarks\Front\W384\W384S04F_07.npy,W384
../Datasets/normalized_landmarks\Front\W398\W398S13F_02.npy,W398
../Datasets/normalized_landmarks\Front\W202\W202S02F_03.npy,W202
../Datasets/normalized_landmarks\Front\W063\W063S12F_03.npy,W063
../Datasets/normalized_landmarks\Front\W027\W027S06F_02.npy,W027
../Datasets/normalized_landmarks\Front\W354\W354S18F_13.npy,W354
../Datasets/normalized_landmarks\Front\W383\W383S05F_05.npy,W383
../Datasets/normalized_landmarks\Front\W166\W166S05F_06.npy,W166
../Datasets/normalized_landmarks\Front\W225\W225S05F_07.npy,W225
../Datasets/normalized_landmarks\Front\W373\W373S09F_03.npy,W373
../Datasets/normalized_landmarks\Front\W241\W241S12F_06.npy,W241
../Datasets/normalized_landmarks\Front\W362\W362S16F_05.npy,W362
../Datasets/normalized_landmarks\Front\W055\W055S05F_01.npy,W055
../Datasets/normalized_landmarks\Front\W273\W273S08F_03.npy,W273
../Datasets/normalized_landmarks\Front\W114\W114S09F_02.npy,W114
../Datasets/normalized_landmarks\Front\W287\W287S09F_06.npy,W287
../Datasets/normalized_landmarks\Front\W263\W263S04F_04.npy,W263
../Datasets/normalized_landmarks\Front\W392\W392S01F_12.npy,W392
../Datasets/normalized_landmarks\Front\W245\W245S04F_06.npy,W245
../Datasets/normalized_landmarks\Front\W053\W053S15F_02.npy,W053
../Datasets/normalized_landmarks\Front\W142\W142S12F_09.npy,W142
../Datasets/normalized_landmarks\Front\W261\W261S05F_06.npy,W261
../Datasets/normalized_landmarks\Front\W005\W005S05F_02.npy,W005
../Datasets/normalized_landmarks\Front\W374\W374S13F_07.npy,W374
../Datasets/normalized_landmarks\Front\W074\W074S01F_11.npy,W074
../Datasets/normalized_landmarks\Front\W270\W270S12F_09.npy,W270
../Datasets/normalized_landmarks\Front\W029\W029S13F_11.npy,W029
../Datasets/normalized_landmarks\Front\W267\W267S02F_03.npy,W267
../Datasets/normalized_landmarks\Front\W284\W284S16F_09.npy,W284
../Datasets/normalized_landmarks\Front\W159\W159S15F_02.npy,W159
../Datasets/normalized_landmarks\Front\W323\W323S13F_08.npy,W323
../Datasets/normalized_landmarks\Front\W113\W113S15F_05.npy,W113
../Datasets/normalized_landmarks\Front\W017\W017S05F_04.npy,W017
../Datasets/normalized_landmarks\Front\W359\W359S02F_08.npy,W359
../Datasets/normalized_landmarks\Front\W356\W356S11F_07.npy,W356
../Datasets/normalized_landmarks\Front\W345\W345S07F_06.npy,W345
../Datasets/normalized_landmarks\Front\W071\W071S13F_07.npy,W071
../Datasets/normalized_landmarks\Front\W004\W004S08F_06.npy,W004
../Datasets/normalized_landmarks\Front\W155\W155S04F_08.npy,W155
../Datasets/normalized_landmarks\Front\W251\W251S02F_10.npy,W251
../Datasets/normalized_landmarks\Front\W302\W302S12F_02.npy,W302
../Datasets/normalized_landmarks\Front\W051\W051S12F_05.npy,W051
../Datasets/normalized_landmarks\Front\W138\W138S13F_06.npy,W138
../Datasets/normalized_landmarks\Front\W079\W079S13F_05.npy,W079
../Datasets/normalized_landmarks\Front\W346\W346S01F_03.npy,W346
../Datasets/normalized_landmarks\Front\W022\W022S01F_12.npy,W022
../Datasets/normalized_landmarks\Front\W116\W116S02F_04.npy,W116
../Datasets/normalized_landmarks\Front\W089\W089S04F_08.npy,W089
../Datasets/normalized_landmarks\Front\W013\W013S15F_04.npy,W013
../Datasets/normalized_landmarks\Front\W079\W079S13F_04.npy,W079
../Datasets/normalized_landmarks\Front\W044\W044S03F_04.npy,W044
../Datasets/normalized_landmarks\Front\W278\W278S12F_07.npy,W278
../Datasets/normalized_landmarks\Front\W400\W400S06F_11.npy,W400
../Datasets/normalized_landmarks\Front\W396\W396S13F_07.npy,W396
../Datasets/normalized_landmarks\Front\W386\W386S09F_10.npy,W386
../Datasets/normalized_landmarks\Front\W361\W361S12F_02.npy,W361
../Datasets/normalized_landmarks\Front\W280\W280S12F_09.npy,W280
../Datasets/normalized_landmarks\Front\W387\W387S06F_05.npy,W387
../Datasets/normalized_landmarks\Front\W095\W095S09F_08.npy,W095
../Datasets/normalized_landmarks\Front\W100\W100S06F_12.npy,W100
../Datasets/normalized_landmarks\Front\W314\W314S06F_08.npy,W314
../Datasets/normalized_landmarks\Front\W274\W274S05F_03.npy,W274
../Datasets/normalized_landmarks\Front\W372\W372S18F_03.npy,W372
../Datasets/normalized_landmarks\Front\W076\W076S15F_07.npy,W076
../Datasets/normalized_landmarks\Front\W025\W025S15F_04.npy,W025
../Datasets/normalized_landmarks\Front\W023\W023S09F_12.npy,W023
../Datasets/normalized_landmarks\Front\W322\W322S09F_09.npy,W322
../Datasets/normalized_landmarks\Front\W382\W382S17F_06.npy,W382
../Datasets/normalized_landmarks\Front\W219\W219S01F_13.npy,W219
../Datasets/normalized_landmarks\Front\W044\W044S12F_09.npy,W044
../Datasets/normalized_landmarks\Front\W252\W252S06F_12.npy,W252
../Datasets/normalized_landmarks\Front\W010\W010S12F_10.npy,W010
../Datasets/normalized_landmarks\Front\W014\W014S05F_08.npy,W014
../Datasets/normalized_landmarks\Front\W286\W286S01F_03.npy,W286
../Datasets/normalized_landmarks\Front\W044\W044S04F_07.npy,W044
../Datasets/normalized_landmarks\Front\W323\W323S04F_02.npy,W323
../Datasets/normalized_landmarks\Front\W321\W321S17F_04.npy,W321
../Datasets/normalized_landmarks\Front\W157\W157S04F_11.npy,W157
../Datasets/normalized_landmarks\Front\W371\W371S12F_02.npy,W371
../Datasets/normalized_landmarks\Front\W397\W397S01F_16.npy,W397
../Datasets/normalized_landmarks\Front\W282\W282S13F_07.npy,W282
../Datasets/normalized_landmarks\Front\W221\W221S12F_03.npy,W221
../Datasets/normalized_landmarks\Front\W380\W380S01F_11.npy,W380
../Datasets/normalized_landmarks\Front\W046\W046S04F_09.npy,W046
../Datasets/normalized_landmarks\Front\W273\W273S06F_03.npy,W273
../Datasets/normalized_landmarks\Front\W247\W247S13F_06.npy,W247
../Datasets/normalized_landmarks\Front\W303\W303S08F_04.npy,W303
../Datasets/normalized_landmarks\Front\W063\W063S04F_04.npy,W063
../Datasets/normalized_landmarks\Front\W114\W114S12F_01.npy,W114
../Datasets/normalized_landmarks\Front\W359\W359S09F_06.npy,W359
../Datasets/normalized_landmarks\Front\W374\W374S08F_07.npy,W374
../Datasets/normalized_landmarks\Front\W110\W110S13F_07.npy,W110
../Datasets/normalized_landmarks\Front\W281\W281S06F_11.npy,W281
../Datasets/normalized_landmarks\Front\W138\W138S09F_05.npy,W138
../Datasets/normalized_landmarks\Front\W356\W356S02F_10.npy,W356
../Datasets/normalized_landmarks\Front\W022\W022S02F_08.npy,W022
../Datasets/normalized_landmarks\Front\W070\W070S04F_10.npy,W070
../Datasets/normalized_landmarks\Front\W093\W093S05F_04.npy,W093
../Datasets/normalized_landmarks\Front\W364\W364S11F_04.npy,W364
../Datasets/normalized_landmarks\Front\W385\W385S13F_06.npy,W385
../Datasets/normalized_landmarks\Front\W213\W213S05F_03.npy,W213
../Datasets/normalized_landmarks\Front\W328\W328S06F_04.npy,W328
../Datasets/normalized_landmarks\Front\W194\W194S04F_04.npy,W194
../Datasets/normalized_landmarks\Front\W204\W204S11F_02.npy,W204
../Datasets/normalized_landmarks\Front\W249\W249S09F_10.npy,W249
../Datasets/normalized_landmarks\Front\W257\W257S12F_09.npy,W257
../Datasets/normalized_landmarks\Front\W238\W238S12F_02.npy,W238
../Datasets/normalized_landmarks\Front\W178\W178S06F_10.npy,W178
../Datasets/normalized_landmarks\Front\W276\W276S08F_05.npy,W276
../Datasets/normalized_landmarks\Front\W067\W067S11F_02.npy,W067
../Datasets/normalized_landmarks\Front\W111\W111S05F_01.npy,W111
../Datasets/normalized_landmarks\Front\W396\W396S18F_02.npy,W396
../Datasets/normalized_landmarks\Front\W292\W292S07F_01.npy,W292
../Datasets/normalized_landmarks\Front\W366\W366S13F_04.npy,W366
../Datasets/normalized_landmarks\Front\W189\W189S09F_06.npy,W189
../Datasets/normalized_landmarks\Front\W165\W165S11F_08.npy,W165
../Datasets/normalized_landmarks\Front\W396\W396S11F_07.npy,W396
../Datasets/normalized_landmarks\Front\W156\W156S08F_04.npy,W156
../Datasets/normalized_landmarks\Front\W166\W166S02F_09.npy,W166
../Datasets/normalized_landmarks\Front\W398\W398S13F_04.npy,W398
../Datasets/normalized_landmarks\Front\W055\W055S10F_10.npy,W055
../Datasets/normalized_landmarks\Front\W337\W337S05F_05.npy,W337
../Datasets/normalized_landmarks\Front\W325\W325S13F_10.npy,W325
../Datasets/normalized_landmarks\Front\W069\W069S01F_02.npy,W069
../Datasets/normalized_landmarks\Front\W342\W342S06F_12.npy,W342
../Datasets/normalized_landmarks\Front\W019\W019S03F_12.npy,W019
../Datasets/normalized_landmarks\Front\W040\W040S15F_04.npy,W040
../Datasets/normalized_landmarks\Front\W374\W374S15F_01.npy,W374
../Datasets/normalized_landmarks\Front\W288\W288S16F_10.npy,W288
../Datasets/normalized_landmarks\Front\W250\W250S13F_04.npy,W250
../Datasets/normalized_landmarks\Front\W199\W199S09F_10.npy,W199
../Datasets/normalized_landmarks\Front\W105\W105S06F_04.npy,W105
../Datasets/normalized_landmarks\Front\W182\W182S09F_08.npy,W182
../Datasets/normalized_landmarks\Front\W253\W253S15F_09.npy,W253
../Datasets/normalized_landmarks\Front\W378\W378S07F_01.npy,W378
../Datasets/normalized_landmarks\Front\W161\W161S06F_13.npy,W161
../Datasets/normalized_landmarks\Front\W043\W043S04F_11.npy,W043
../Datasets/normalized_landmarks\Front\W383\W383S05F_02.npy,W383
../Datasets/normalized_landmarks\Front\W180\W180S02F_08.npy,W180
../Datasets/normalized_landmarks\Front\W334\W334S01F_11.npy,W334
../Datasets/normalized_landmarks\Front\W369\W369S16F_04.npy,W369
../Datasets/normalized_landmarks\Front\W162\W162S05F_09.npy,W162
../Datasets/normalized_landmarks\Front\W365\W365S11F_02.npy,W365
../Datasets/normalized_landmarks\Front\W326\W326S05F_06.npy,W326
../Datasets/normalized_landmarks\Front\W050\W050S09F_03.npy,W050
../Datasets/normalized_landmarks\Front\W085\W085S15F_12.npy,W085
../Datasets/normalized_landmarks\Front\W334\W334S01F_04.npy,W334
../Datasets/normalized_landmarks\Front\W150\W150S13F_03.npy,W150
../Datasets/normalized_landmarks\Front\W172\W172S04F_05.npy,W172
../Datasets/normalized_landmarks\Front\W328\W328S07F_08.npy,W328
../Datasets/normalized_landmarks\Front\W104\W104S12F_11.npy,W104
../Datasets/normalized_landmarks\Front\W320\W320S02F_09.npy,W320
../Datasets/normalized_landmarks\Front\W125\W125S08F_10.npy,W125
../Datasets/normalized_landmarks\Front\W084\W084S11F_02.npy,W084
../Datasets/normalized_landmarks\Front\W316\W316S17F_06.npy,W316
../Datasets/normalized_landmarks\Front\W064\W064S05F_10.npy,W064
../Datasets/normalized_landmarks\Front\W286\W286S09F_01.npy,W286
../Datasets/normalized_landmarks\Front\W316\W316S01F_05.npy,W316
../Datasets/normalized_landmarks\Front\W132\W132S08F_01.npy,W132
../Datasets/normalized_landmarks\Front\W398\W398S17F_05.npy,W398
